startDate,ms_played,track_name_x,artist_name,album_name_x,track_id,type,sourceName,value,unit,endDate,Unnamed: 0,artists,album_name_y,track_name_y,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2023-11-14 20:30:00,191978,Tu Jaane Na,Atif Aslam,Best of Romance: Atif Aslam & Pritam,5vGiuYFSGekGLgbxhV1rD5,StepCount,Casio G-Shock,48.0,count,11/14/23 20:45,,,,,,,,,,,,,,,,,,,,
2023-11-14 20:40:00,51170,Subhanallah Lofi Mix,Pritam,Subhanallah Lofi Mix,1pnC5d46tqFwjqGtbjJPn7,StepCount,iPhone 4s,9.0,count,11/14/23 20:44,55325.0,Pritam;Sreeram;Shilpa Rao;Kedrock;Sd Style,Subhanallah Lofi Mix,Subhanallah Lofi Mix,53.0,199026.0,False,0.249,0.461,9.0,-6.897,1.0,0.0373,0.692,2.47e-06,0.249,0.154,79.894,4.0,indian
2023-11-14 20:50:00,269200,Daaru Desi,Benny Dayal,Cocktail (Original Motion Picture Soundtrack),5pAo2q7eVt65OSkwYgqhHl,StepCount,iPhone 4s,407.0,count,11/14/23 21:06,51552.0,Benny Dayal;Shalmali Kholgade,Cocktail (Original Motion Picture Soundtrack),Daaru Desi,59.0,269200.0,False,0.703,0.781,8.0,-6.876,0.0,0.0468,0.194,0.000368,0.0928,0.679,94.014,4.0,hip-hop
2023-11-14 20:50:00,269200,Daaru Desi,Benny Dayal,Cocktail (Original Motion Picture Soundtrack),5pAo2q7eVt65OSkwYgqhHl,StepCount,iPhone 4s,407.0,count,11/14/23 21:06,80551.0,Benny Dayal;Shalmali Kholgade,Cocktail (Original Motion Picture Soundtrack),Daaru Desi,59.0,269200.0,False,0.703,0.781,8.0,-6.876,0.0,0.0468,0.194,0.000368,0.0928,0.679,94.014,4.0,pop-film
2023-11-14 21:00:00,249707,Subhanallah,Pritam,Yeh Jawaani Hai Deewani,0GQngE2rOYvlKwEQjTAsP8,StepCount,iPhone 4s,777.0,count,11/14/23 21:14,55022.0,Pritam;Sreeram;Shilpa Rao,Yeh Jawaani Hai Deewani,Subhanallah,72.0,249707.0,False,0.302,0.493,9.0,-5.038,1.0,0.0451,0.455,0.0,0.134,0.457,88.904,4.0,indian
2023-11-14 21:10:00,265717,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,7y2LdSannuZhlHK3eTOyly,StepCount,Casio G-Shock,554.0,count,11/14/23 21:27,34139.0,Kailash Kher;Meet Bros Anjjan,Best Of Kailash Kher,"Mere Nishaan (From ""Oh My God"")",49.0,300719.0,False,0.586,0.524,1.0,-8.576,1.0,0.0436,0.74,2.98e-06,0.136,0.529,98.077,4.0,folk
2023-11-14 21:10:00,265717,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,7y2LdSannuZhlHK3eTOyly,StepCount,Casio G-Shock,554.0,count,11/14/23 21:27,55548.0,Kailash Kher;Meet Bros Anjjan,Best Of Kailash Kher,"Mere Nishaan (From ""Oh My God"")",49.0,300719.0,False,0.586,0.524,1.0,-8.576,1.0,0.0436,0.74,2.98e-06,0.136,0.529,98.077,4.0,indian
2023-11-14 21:20:00,198391,Kabira,Pritam,Yeh Jawaani Hai Deewani,4bD9z9qa4qg9BhryvYWB7c,StepCount,iPhone 4s,31.0,count,11/14/23 21:29,55014.0,Pritam;Tochi Raina;Rekha Bhardwaj,Yeh Jawaani Hai Deewani,Kabira,74.0,223459.0,False,0.59,0.555,2.0,-6.861,1.0,0.0271,0.481,0.0,0.192,0.191,84.027,4.0,indian
2023-11-15 23:20:00,241668,"Ajab Si (From ""Om Shanti Om"")",KK,Zindagi Do Pal Ki - K.K. All Time Hits,2RgvvnMwtP0R2OkVZmFvnV,StepCount,Casio G-Shock,124.0,count,11/15/23 23:35,80225.0,KK,Zindagi Do Pal Ki - K.K. All Time Hits,"Ajab Si (From ""Om Shanti Om"")",65.0,241668.0,False,0.697,0.438,8.0,-8.411,1.0,0.0289,0.399,0.0,0.293,0.58,117.955,4.0,pop-film
2023-11-15 23:40:00,471720,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,2yBxVCCJkfCuwhA0GR2VwA,StepCount,Casio G-Shock,11.0,count,11/15/23 23:47,,,,,,,,,,,,,,,,,,,,
2023-11-17 21:20:00,26730,Yeh Sham Mastani,Kishore Kumar,Kati Patang,6UeEm5XPsleVD85kNHCu1n,StepCount,iPhone 4s,386.0,count,11/17/23 21:37,80438.0,Kishore Kumar;R. D. Burman,Kati Patang,Yeh Sham Mastani,61.0,276855.0,False,0.447,0.476,6.0,-11.007,1.0,0.0343,0.891,0.0,0.323,0.563,116.187,4.0,pop-film
2023-11-17 21:30:00,270733,Hum Dono Do Premi,Lata Mangeshkar,Remembering Lata Mangeshkar,7fyNUqwla8VHtdk2a7lycW,StepCount,Casio G-Shock,131.0,count,11/17/23 21:41,,,,,,,,,,,,,,,,,,,,
2023-11-17 21:40:00,26779,Ek Main Aur Ek Tu,Asha Bhosle,Khel Khel Mein,0m23fTE5D9lfYyVyfm5RoL,StepCount,iPhone 4s,34.0,count,11/17/23 21:55,,,,,,,,,,,,,,,,,,,,
2023-11-17 22:50:00,457590,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,2yBxVCCJkfCuwhA0GR2VwA,StepCount,iPhone 4s,97.0,count,11/17/23 23:06,,,,,,,,,,,,,,,,,,,,
2023-11-17 23:00:00,332120,Tere Liye (Instrumental),Madan Mohan,Romancing The Legend: Veer-Zaara Instrumental,6ZUOhTs1fZem4YYsvdUEdK,StepCount,iPhone 4s,27.0,count,11/17/23 23:09,,,,,,,,,,,,,,,,,,,,
2023-11-17 23:20:00,7410,Bebo,Alisha Chinai,Kambakkht Ishq (Original Motion Picture Soundtrack),0GNq37PiMmflUA7uCnSh3W,StepCount,Casio G-Shock,39.0,count,11/17/23 23:32,,,,,,,,,,,,,,,,,,,,
2023-11-17 23:40:00,294608,Isq Risk - Instrumental,Sohail Sen,Yrf Romantic Melodies – Instrumental,255dwsEGFdK8Prtb2KObc1,StepCount,Casio G-Shock,19.0,count,11/17/23 23:45,,,,,,,,,,,,,,,,,,,,
2023-11-19 20:50:00,6493,Moh Moh Ke Dhaage (Male),Anu Malik,Dum Laga Ke Haisha,189DQylImZ1hGZaIpAQUzx,StepCount,iPhone 4s,41.0,count,11/19/23 21:01,80802.0,Anu Malik;Papon;Varun Grover,Dum Laga Ke Haisha,Moh Moh Ke Dhaage (Male),58.0,322899.0,False,0.634,0.344,2.0,-11.011,1.0,0.0288,0.741,6.09e-05,0.111,0.409,128.0,4.0,pop-film
2023-11-19 21:00:00,252200,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,2yBxVCCJkfCuwhA0GR2VwA,StepCount,Casio G-Shock,28.0,count,11/19/23 21:02,,,,,,,,,,,,,,,,,,,,
2023-11-19 21:10:00,13653,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,7y2LdSannuZhlHK3eTOyly,StepCount,Casio G-Shock,27.0,count,11/19/23 21:15,34139.0,Kailash Kher;Meet Bros Anjjan,Best Of Kailash Kher,"Mere Nishaan (From ""Oh My God"")",49.0,300719.0,False,0.586,0.524,1.0,-8.576,1.0,0.0436,0.74,2.98e-06,0.136,0.529,98.077,4.0,folk
2023-11-19 21:10:00,13653,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,7y2LdSannuZhlHK3eTOyly,StepCount,Casio G-Shock,27.0,count,11/19/23 21:15,55548.0,Kailash Kher;Meet Bros Anjjan,Best Of Kailash Kher,"Mere Nishaan (From ""Oh My God"")",49.0,300719.0,False,0.586,0.524,1.0,-8.576,1.0,0.0436,0.74,2.98e-06,0.136,0.529,98.077,4.0,indian
2023-11-19 21:20:00,194602,Socha Hai,Farhan Akhtar,Rock On,7IjnfuMNfdrAXbefurdIIR,StepCount,Casio G-Shock,74.0,count,11/19/23 21:27,,,,,,,,,,,,,,,,,,,,
2023-11-20 22:40:00,1130,"Chaand Taare (From ""Yes Boss"")",Abhijeet,My Best Collection,5Cdd8p9sxRczQX6GFC8CdH,StepCount,iPhone 4s,28.0,count,11/20/23 22:50,,,,,,,,,,,,,,,,,,,,
