startDate,ms_played,track_name_x,artist_name,album_name_x,track_id,value,unit,endDate,artists,album_name_y,track_name_y,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
11/11/23 22:30,1400,Zindagi Kuch Toh Bata (Reprise),Pritam,Bajrangi Bhaijaan,6TGX01ExmdHyOG72fqUU3Q,83,count/min,11/11/23 22:35,Jubin Nautiyal,Bajrangi Bhaijaan,Zindagi Kuch Toh Bata (Reprise),64,258877,FALSE,0.528,0.615,5,-7.118,1,0.0372,0.491,0.000111,0.104,0.225,123.988
11/11/23 22:40,18900,Kalank - Title Track,RAW VIBE,Kalank,5aiP2xmxndmb6DnbanCXlv,81,count/min,11/11/23 22:46,,,,,,,,,,,,,,,,,
11/11/23 23:50,26080,"Gulabi Ankhen - From ""The Train""",Mohammed Rafi,Audiobiography,4ujalVER2NLazVozUVllxw,79,count/min,11/11/23 23:56,Mohammed Rafi,Audiobiography,"Gulabi Ankhen - From ""The Train""",60,197293,FALSE,0.575,0.746,9,-6.524,1,0.0695,0.667,8.70E-06,0.352,0.731,107.875
11/12/23 0:00,120,Yeh Hum Aa Gaye Hain Kahaan,Madan Mohan,Veer - Zaara,7sSYkaAXRgnzoQYrGgrvlX,83,count/min,11/12/23 0:07,Madan Mohan;Lata Mangeshkar;Udit Narayan;Javed Akhtar,Veer - Zaara,Yeh Hum Aa Gaye Hain Kahaan,54,343066,FALSE,0.48,0.753,5,-7.33,0,0.0454,0.347,0.000335,0.315,0.462,90.027
11/12/23 0:10,295157,Main Yahaan Hoon,Madan Mohan,Veer - Zaara,3OAFzjwWionh8OfM4kgf2R,81,count/min,11/12/23 0:16,Madan Mohan;Udit Narayan;Javed Akhtar,Veer - Zaara,Main Yahaan Hoon,66,295157,FALSE,0.484,0.788,4,-7.625,0,0.0565,0.69,0.0132,0.0939,0.741,171.973
11/12/23 0:10,295157,Main Yahaan Hoon,Madan Mohan,Veer - Zaara,3OAFzjwWionh8OfM4kgf2R,81,count/min,11/12/23 0:16,Madan Mohan;Udit Narayan;Javed Akhtar,Veer - Zaara,Main Yahaan Hoon,66,295157,FALSE,0.484,0.788,4,-7.625,0,0.0565,0.69,0.0132,0.0939,0.741,171.973
11/12/23 0:10,295157,Main Yahaan Hoon,Madan Mohan,Veer - Zaara,3OAFzjwWionh8OfM4kgf2R,81,count/min,11/12/23 0:16,Madan Mohan;Udit Narayan;Javed Akhtar,Veer - Zaara,Main Yahaan Hoon,66,295157,FALSE,0.484,0.788,4,-7.625,0,0.0565,0.69,0.0132,0.0939,0.741,171.973
11/12/23 0:20,33154,Yeh Hum Aa Gaye Hain Kahaan,Madan Mohan,Veer - Zaara,7sSYkaAXRgnzoQYrGgrvlX,71,count/min,11/12/23 0:27,Madan Mohan;Lata Mangeshkar;Udit Narayan;Javed Akhtar,Veer - Zaara,Yeh Hum Aa Gaye Hain Kahaan,54,343066,FALSE,0.48,0.753,5,-7.33,0,0.0454,0.347,0.000335,0.315,0.462,90.027
11/12/23 1:40,353106,"Jaane Jaan Dhoondata - From ""Jawani Diwani""",Kishore Kumar,Timeless Kishore,6Fdg2TXeZes5rSYYfrJ1hV,59,count/min,11/12/23 1:47,,,,,,,,,,,,,,,,,
11/12/23 1:50,256163,"Dilbar Mere - From ""Satte Pe Satta""",Kishore Kumar,Audiobiography - Kishore Kumar,03GR8YoEsu0qPUGC13X8C1,59,count/min,11/12/23 1:56,Kishore Kumar;Anette,Audiobiography - Kishore Kumar,Dilbar Mere - Satte Pe Satta / Soundtrack Version,57,288480,FALSE,0.387,0.615,5,-6.877,0,0.0429,0.665,0,0.15,0.845,180.726
