startDate,ms_played,track_name,artist_name,album_name,url,type,sourceName,value,unit,endDate
2023-11-20 22:40:00,1130,"Chaand Taare (From ""Yes Boss"")",Abhijeet,My Best Collection,spotify:track:5Cdd8p9sxRczQX6GFC8CdH,HeartRate,Casio G-Shock,79.0,count/min,11/20/23 22:45
2023-11-20 23:10:00,46673,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,spotify:track:2yBxVCCJkfCuwhA0GR2VwA,HeartRate,Casio G-Shock,78.0,count/min,11/20/23 23:18
2023-11-20 23:20:00,5236,Zaara-Bauji Theme (Instrumental),Madan Mohan,The Love Legend Themes: Veer-Zaara Themes & Instrumental Scores,spotify:track:0N7I4n27C4ohUpssooA2LC,HeartRate,Casio G-Shock,82.0,count/min,11/20/23 23:28
2023-11-20 23:30:00,5259,Dil-E-Naadaan Tujhe Hua Kya Hai,Jagjit Singh,Main Ghalib,spotify:track:32pak2UWgCO1r5fZwUPKOa,HeartRate,Casio G-Shock,72.0,count/min,11/20/23 23:39
2023-11-20 23:40:00,9680,Tere Liye,Madan Mohan,Veer - Zaara,spotify:track:3i11e2jzUtO3jChiFl3v9x,HeartRate,Casio G-Shock,71.0,count/min,11/20/23 23:47
2023-11-20 23:50:00,177068,Titliaan,Afsana Khan,Titliaan,spotify:track:1980E4Grgu5xAhNbFZ1mb1,HeartRate,Casio G-Shock,71.0,count/min,11/20/23 23:59
2023-11-21 00:00:00,910,Dil Todya,Satbir Aujla,Dil Todya,spotify:track:5XLGe55N7WuoXIgG60KR83,HeartRate,Casio G-Shock,72.0,count/min,11/21/23 0:09
2023-11-21 00:10:00,2640,Mileya Mileya,Rekha Bhardwaj,Happy Ending (Original Motion Picture Soundtrack),spotify:track:2IarWd16hKAvXU8vnEunVb,HeartRate,Casio G-Shock,72.0,count/min,11/21/23 0:19
2023-11-21 00:20:00,234486,Tu Jo Mila,Pritam,Bajrangi Bhaijaan,spotify:track:7txLCGOXyDlDXTjtR1Sk4v,HeartRate,Casio G-Shock,72.0,count/min,11/21/23 0:29
2023-11-21 00:30:00,12030,Muja Laga Kabhi Phone Nahi Karoge Tum - Dialogue,Imran Hasmi,Murder,spotify:track:0Ffz0qYUGnL4Vuxx8cpnIN,HeartRate,Casio G-Shock,77.0,count/min,11/21/23 0:39
2023-11-21 00:40:00,5670,Feel My Love,KK,Aarya,spotify:track:4EjO3ELtQkbOBox5adad6a,HeartRate,Casio G-Shock,70.0,count/min,11/21/23 0:49
2023-11-21 00:50:00,10280,Uppenantha,Devi Sri Prasad,Aarya - 2 (Original Motion Picture Soundtrack),spotify:track:57zEYntUat0ofbFpoicN26,HeartRate,Casio G-Shock,67.0,count/min,11/21/23 0:59
2023-11-21 01:00:00,343066,Yeh Hum Aa Gaye Hain Kahaan,Madan Mohan,Veer - Zaara,spotify:track:7sSYkaAXRgnzoQYrGgrvlX,HeartRate,Casio G-Shock,68.0,count/min,11/21/23 1:09
