category,sentiment,timestamp_str,score,original_timestamp,timestamp
self-improvement and personal growth,NEGATIVE,2025-02-07T15:22:02+00:00,0.8939661979675293,2025-02-07 15:22:02+00:00,2025-02-07 15:20:00+00:00
mental health experiences,NEGATIVE,2025-02-07T15:22:02+00:00,0.8164582252502441,2025-02-07 15:22:02+00:00,2025-02-07 15:20:00+00:00
addiction awareness and recovery,NEGATIVE,2025-02-07T15:22:02+00:00,0.6557556986808777,2025-02-07 15:22:02+00:00,2025-02-07 15:20:00+00:00
motivation and mental strength,NEGATIVE,2025-02-07T15:22:02+00:00,0.6531754732131958,2025-02-07 15:22:02+00:00,2025-02-07 15:20:00+00:00
mindfulness and mental wellness,NEGATIVE,2025-02-07T15:22:02+00:00,0.6326333284378052,2025-02-07 15:22:02+00:00,2025-02-07 15:20:00+00:00
self-care practices,NEGATIVE,2025-02-07T15:22:02+00:00,0.6132149696350098,2025-02-07 15:22:02+00:00,2025-02-07 15:20:00+00:00
social anxiety and relationships,NEGATIVE,2025-02-07T15:22:02+00:00,0.611958920955658,2025-02-07 15:22:02+00:00,2025-02-07 15:20:00+00:00
mental health education,NEGATIVE,2025-02-07T15:22:02+00:00,0.5579415559768677,2025-02-07 15:22:02+00:00,2025-02-07 15:20:00+00:00
emotional health discussion,NEGATIVE,2025-02-07T15:22:02+00:00,0.5568769574165344,2025-02-07 15:22:02+00:00,2025-02-07 15:20:00+00:00
trauma awareness and healing,NEGATIVE,2025-02-07T15:22:02+00:00,0.552239179611206,2025-02-07 15:22:02+00:00,2025-02-07 15:20:00+00:00
self-improvement and personal growth,POSITIVE,2025-02-07T15:22:21+00:00,0.9923098087310792,2025-02-07 15:22:21+00:00,2025-02-07 15:20:00+00:00
motivation and mental strength,POSITIVE,2025-02-07T15:22:21+00:00,0.9657624363899232,2025-02-07 15:22:21+00:00,2025-02-07 15:20:00+00:00
mindfulness and mental wellness,POSITIVE,2025-02-07T15:22:21+00:00,0.9083056449890136,2025-02-07 15:22:21+00:00,2025-02-07 15:20:00+00:00
self-care practices,POSITIVE,2025-02-07T15:22:21+00:00,0.8871390223503113,2025-02-07 15:22:21+00:00,2025-02-07 15:20:00+00:00
mental health experiences,POSITIVE,2025-02-07T15:22:21+00:00,0.870756983757019,2025-02-07 15:22:21+00:00,2025-02-07 15:20:00+00:00
mental health education,POSITIVE,2025-02-07T15:22:21+00:00,0.8070602416992188,2025-02-07 15:22:21+00:00,2025-02-07 15:20:00+00:00
emotional health discussion,POSITIVE,2025-02-07T15:22:21+00:00,0.7752931714057922,2025-02-07 15:22:21+00:00,2025-02-07 15:20:00+00:00
work-life balance and burnout,POSITIVE,2025-02-07T15:22:21+00:00,0.7696712613105774,2025-02-07 15:22:21+00:00,2025-02-07 15:20:00+00:00
addiction awareness and recovery,POSITIVE,2025-02-07T15:22:21+00:00,0.6885716319084167,2025-02-07 15:22:21+00:00,2025-02-07 15:20:00+00:00
trauma awareness and healing,POSITIVE,2025-02-07T15:22:21+00:00,0.6880879402160645,2025-02-07 15:22:21+00:00,2025-02-07 15:20:00+00:00
social anxiety and relationships,POSITIVE,2025-02-07T15:22:21+00:00,0.6416093111038208,2025-02-07 15:22:21+00:00,2025-02-07 15:20:00+00:00
therapy and mental health support,POSITIVE,2025-02-07T15:22:21+00:00,0.5923952460289001,2025-02-07 15:22:21+00:00,2025-02-07 15:20:00+00:00
