27653,Ranjha (Lofi Flip),"Feb 28, 2024, 10:44:19 AM PST",Technology,,NEGATIVE,0.7522810697555542,reaction,information,"dramatic,professional,informative,serious,funny,personal",0.7813358306884766
27654,Husn x Apa Fer Milaangey,"Feb 28, 2024, 10:40:18 AM PST",Entertainment,,NEGATIVE,0.9670203924179077,reaction,storytelling,"dramatic,informative,funny,professional,serious,casual,personal",0.9231408834457397
27655,Husn,"Feb 28, 2024, 10:40:13 AM PST",Tutorial,,POSITIVE,0.9368075132369995,reaction,information,"serious,dramatic,personal,informative,funny,professional",0.07255077362060547
27656,Anuv Jain Mashup,"Feb 28, 2024, 10:39:35 AM PST",Music,Music Mix,NEGATIVE,0.9555113315582275,unknown,unknown,,0.9487348198890686
27657,Borealis,"Feb 28, 2024, 10:39:11 AM PST",Entertainment,,NEGATIVE,0.9992978572845459,reaction,information,"dramatic,serious,informative,professional,funny,personal",0.3173920810222626
27658,Sang Rahiyo (feat. Ujjwal Kashyap),"Feb 28, 2024, 10:39:10 AM PST",Music,Lyric Video,POSITIVE,0.9971039891242981,unknown,unknown,,0.996515154838562
27659,Kesariya (Lofi Flip),"Feb 28, 2024, 10:39:09 AM PST",Technology,,POSITIVE,0.5459175109863281,gameplay,information,"dramatic,informative,professional,serious,funny",0.7985109686851501
27660,Tera Hone Laga Hoon (Lofi Mix),"Feb 28, 2024, 10:39:06 AM PST",Music,Concert Recording,NEGATIVE,0.9755449891090393,unknown,unknown,,0.9939137697219849
27661,Brown Munde,"Feb 28, 2024, 10:34:51 AM PST",Entertainment,,NEGATIVE,0.9876856803894043,guide,information,"informative,professional,dramatic,serious,personal,funny",0.4103839695453644
27662,Pehla Nasha-sanam,"Feb 28, 2024, 10:31:07 AM PST",Entertainment,,NEGATIVE,0.9826089143753052,reaction,information,"dramatic,informative,serious,funny,professional,personal,casual",0.45228204131126404
27663,Akhiyaan,"Feb 28, 2024, 10:27:55 AM PST",Entertainment,,POSITIVE,0.9909381866455078,reaction,information,"dramatic,informative,serious,professional,funny,personal,casual",0.3232008218765259
27664,Kasoor,"Feb 28, 2024, 10:24:37 AM PST",Entertainment,,POSITIVE,0.951008677482605,reaction,information,"dramatic,informative,serious,professional,funny,casual,personal",0.44025734066963196
27665,All We Know,"Feb 28, 2024, 10:24:27 AM PST",News,,NEGATIVE,0.972966194152832,news,information,"informative,professional,serious,casual",0.946199357509613
27666,Sorry,"Feb 28, 2024, 10:23:39 AM PST",Reviews,,NEGATIVE,0.999756395816803,reaction,information,"serious,dramatic,personal,casual",0.47810816764831543
27667,Hass Hass,"Feb 28, 2024, 10:21:06 AM PST",Comedy,,POSITIVE,0.948603093624115,reaction,information,"dramatic,serious,informative,funny,personal",0.412345826625824
27668,Shree Siddhivinayak Mantra And Aarti,"Feb 28, 2024, 10:21:01 AM PST",Music,Music Mix,POSITIVE,0.902162492275238,unknown,unknown,,0.916804850101471
27669,Zedd - Clarity (feat. Foxes) (Porter Robinson Remix) (Live),"Feb 28, 2024, 10:11:32 AM PST",Music,Live Performance,POSITIVE,0.9989056587219238,unknown,unknown,,0.9967983961105347
27670,STEREO LOVE X ON THE FLOOR | DJ ZZ,"Feb 28, 2024, 9:59:15 AM PST",Music,Official Music Video,POSITIVE,0.9873283505439758,unknown,unknown,,0.9935963153839111
27671,Heidi Montag - I'll Do It (Sped Up Version),"Feb 28, 2024, 9:55:57 AM PST",Entertainment,,POSITIVE,0.7714378237724304,reaction,storytelling,"dramatic,funny,personal,professional,informative,serious",0.8128077387809753
27672,Malang Sajna Dance Cover | Wedding Choreography | Couple Dance | Sangeet| Arham Chordia X Jeel Patel,"Feb 28, 2024, 9:51:59 AM PST",Entertainment,,POSITIVE,0.7570928335189819,guide,entertainment,"informative,professional,dramatic,funny",0.9115463495254517
27673,Malang Sajna 😍✨ Dancing with @akshitagoeldance #josh,"Feb 28, 2024, 9:51:20 AM PST",Entertainment,,NEGATIVE,0.9679914116859436,guide,entertainment,"funny,professional,informative,dramatic",0.9362779259681702
27674,Sad Machine,"Feb 28, 2024, 9:30:36 AM PST",Tutorial,,NEGATIVE,0.99671870470047,commentary,information,"dramatic,informative,personal",0.004048284143209457
27675,Porter Robinson - Language,"Feb 28, 2024, 9:24:17 AM PST",Podcast,,POSITIVE,0.9332513213157654,commentary,unknown,"informative,professional,dramatic,funny,serious",0.02511403150856495
