end_time,ms_played,track_name,artist_name,album_name,url
2023-11-15 23:10:00,1130,Main Rang Sharbaton Ka - Reprise,Arijit Singh,Phata Poster Nikhla Hero - Original Motion Picture Soundtrack,spotify:track:2sryZMs4aLRCLbXiOl69lP
2023-11-15 23:20:00,241668,"Ajab Si (From ""Om Shanti Om"")",KK,Zindagi Do Pal Ki - K.K. All Time Hits,spotify:track:2RgvvnMwtP0R2OkVZmFvnV
2023-11-15 23:30:00,3160,Party On My Mind,Pritam,Race 2,spotify:track:5Rn1DPzSzUktbhuNDDJocS
2023-11-15 23:40:00,471720,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,spotify:track:2yBxVCCJkfCuwhA0GR2VwA
2023-11-17 00:10:00,318488,Tere Bina Zindagi Se,Lata Mangeshkar,Lata Mangeshkar Songs Geet,spotify:track:4isclMhMivnZzlpBAeXrK7
2023-11-17 00:20:00,252360,Tum Aa Gaye Ho Noor Aa Gaya,Lata Mangeshkar,Remembering Lata Mangeshkar,spotify:track:1NAeCNVQ5WbmdCHysY7Qds
2023-11-17 00:30:00,279386,Aanewala Pal Janewala Hai,Kishore Kumar,Gulzar Kishore,spotify:track:4vtT0OcJ8xyFHtGGmMfkKc
2023-11-17 00:40:00,87600,Bachna Ae Hasinon Lo Main Aa Gaya,Kishore Kumar,Kishore Kumar Masti Ki Chakri,spotify:track:6Us13koVdX56kworlZTQIk
2023-11-17 21:20:00,26730,Yeh Sham Mastani,Kishore Kumar,Kati Patang,spotify:track:6UeEm5XPsleVD85kNHCu1n
2023-11-17 21:30:00,270733,Hum Dono Do Premi,Lata Mangeshkar,Remembering Lata Mangeshkar,spotify:track:7fyNUqwla8VHtdk2a7lycW
2023-11-17 21:40:00,26779,Ek Main Aur Ek Tu,Asha Bhosle,Khel Khel Mein,spotify:track:0m23fTE5D9lfYyVyfm5RoL
2023-11-17 22:00:00,190960,Tera Mera Pyar Amar - Lata Mangeshkar,Lata Mangeshkar,Asli Naqli,spotify:track:0Sm3rEToKnYX3vIjDzrQmn
2023-11-17 22:10:00,265926,Do Pal,Madan Mohan,Veer - Zaara,spotify:track:7fyIuR4aaWb6iltlAoSkxF
2023-11-17 22:20:00,260964,O Saathi Re - Kishore Kumar,Kishore Kumar,Muqaddar Ka Sikandar,spotify:track:6V02gm33UVBuwK9ZUfxkDw
2023-11-17 22:40:00,10460,Baamulaiza,Mika Singh,De Dana Dan,spotify:track:56aLd3VIL6vOYloB3nPbNj
2023-11-17 22:50:00,457590,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,spotify:track:2yBxVCCJkfCuwhA0GR2VwA
2023-11-17 23:00:00,332120,Tere Liye (Instrumental),Madan Mohan,Romancing The Legend: Veer-Zaara Instrumental,spotify:track:6ZUOhTs1fZem4YYsvdUEdK
2023-11-17 23:10:00,56905,Om Shanti Om (Instrumental),Vishal-Shekhar,Om Shanti Om,spotify:track:4kqUlN3craCx3ZIBIfhp2X
2023-11-17 23:20:00,7410,Bebo,Alisha Chinai,Kambakkht Ishq (Original Motion Picture Soundtrack),spotify:track:0GNq37PiMmflUA7uCnSh3W
2023-11-17 23:30:00,1180,Lazy Lamhe,Shankar-Ehsaan-Loy,Thoda Pyaar Thoda Magic,spotify:track:2IZQG2wYoVncO3hWCD4IyM
2023-11-17 23:40:00,294608,Isq Risk - Instrumental,Sohail Sen,Yrf Romantic Melodies – Instrumental,spotify:track:255dwsEGFdK8Prtb2KObc1
2023-11-17 23:50:00,6187,Meeting Place,Ranbir Kapoor,Rockstar,spotify:track:09NCo4MjEUXzQ12sRoZBWJ
2023-11-18 00:10:00,7080,Meeting Place,Ranbir Kapoor,Rockstar,spotify:track:09NCo4MjEUXzQ12sRoZBWJ
2023-11-18 00:20:00,5240,Ye Jawaani Teri,Sachin-Jigar,Meri Pyaari Bindu,spotify:track:5BE6214zFFNKBCYYj1sFpu
2023-11-18 00:30:00,49140,Main Koi Aisa Geet Gaoon,Abhijeet,Yes Boss,spotify:track:0WBClBemYPJR44H6uIn0kp
2023-11-19 20:50:00,6493,Moh Moh Ke Dhaage (Male),Anu Malik,Dum Laga Ke Haisha,spotify:track:189DQylImZ1hGZaIpAQUzx
2023-11-19 21:00:00,252200,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,spotify:track:2yBxVCCJkfCuwhA0GR2VwA
2023-11-19 21:10:00,13653,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,spotify:track:7y2LdSannuZhlHK3eTOyly
2023-11-19 21:20:00,194602,Socha Hai,Farhan Akhtar,Rock On,spotify:track:7IjnfuMNfdrAXbefurdIIR
2023-11-20 00:40:00,5376,Rock On!!,Farhan Akhtar,Rock On,spotify:track:6fABlNfAOylt7ZxfX8K1XL
2023-11-20 00:50:00,138047,Tere Liye,Madan Mohan,Veer - Zaara,spotify:track:3i11e2jzUtO3jChiFl3v9x
2023-11-20 17:30:00,285450,Main Yahaan Hoon,Madan Mohan,Veer - Zaara,spotify:track:3OAFzjwWionh8OfM4kgf2R
2023-11-20 17:40:00,427781,Aisa Des Hai Mera,Madan Mohan,Veer - Zaara,spotify:track:4M7pu2MwyGysZM4deGXueq
