app,end,start,floorsClimbed_floors,floorsClimbed_total_time
com.fitbit.FitbitMobile,2025-02-20 21:34:00+00:00,2025-02-20 21:33:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:48:00+00:00,2025-02-20 21:47:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:49:00+00:00,2025-02-20 21:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:52:00+00:00,2025-02-20 07:51:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:53:00+00:00,2025-02-20 07:52:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:40:00+00:00,2025-02-20 19:39:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:56:00+00:00,2025-02-20 19:55:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:33:00+00:00,2025-02-20 21:32:00+00:00,2,1.0
com.fitbit.FitbitMobile,2025-02-20 21:34:00+00:00,2025-02-20 21:33:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:48:00+00:00,2025-02-20 21:47:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:49:00+00:00,2025-02-20 21:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:52:00+00:00,2025-02-20 07:51:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:53:00+00:00,2025-02-20 07:52:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:40:00+00:00,2025-02-20 19:39:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:56:00+00:00,2025-02-20 19:55:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:33:00+00:00,2025-02-20 21:32:00+00:00,2,1.0
com.fitbit.FitbitMobile,2025-02-20 21:34:00+00:00,2025-02-20 21:33:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:48:00+00:00,2025-02-20 21:47:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:49:00+00:00,2025-02-20 21:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:52:00+00:00,2025-02-20 07:51:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:53:00+00:00,2025-02-20 07:52:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:40:00+00:00,2025-02-20 19:39:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:56:00+00:00,2025-02-20 19:55:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:33:00+00:00,2025-02-20 21:32:00+00:00,2,1.0
com.fitbit.FitbitMobile,2025-02-20 21:34:00+00:00,2025-02-20 21:33:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:48:00+00:00,2025-02-20 21:47:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:49:00+00:00,2025-02-20 21:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:52:00+00:00,2025-02-20 07:51:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:53:00+00:00,2025-02-20 07:52:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:40:00+00:00,2025-02-20 19:39:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:56:00+00:00,2025-02-20 19:55:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:33:00+00:00,2025-02-20 21:32:00+00:00,2,1.0
com.fitbit.FitbitMobile,2025-02-20 21:34:00+00:00,2025-02-20 21:33:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:48:00+00:00,2025-02-20 21:47:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:49:00+00:00,2025-02-20 21:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:52:00+00:00,2025-02-20 07:51:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:53:00+00:00,2025-02-20 07:52:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:40:00+00:00,2025-02-20 19:39:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:56:00+00:00,2025-02-20 19:55:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:33:00+00:00,2025-02-20 21:32:00+00:00,2,1.0
com.fitbit.FitbitMobile,2025-02-20 21:34:00+00:00,2025-02-20 21:33:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:48:00+00:00,2025-02-20 21:47:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:49:00+00:00,2025-02-20 21:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:52:00+00:00,2025-02-20 07:51:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:53:00+00:00,2025-02-20 07:52:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:40:00+00:00,2025-02-20 19:39:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:56:00+00:00,2025-02-20 19:55:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:33:00+00:00,2025-02-20 21:32:00+00:00,2,1.0
com.fitbit.FitbitMobile,2025-02-20 21:34:00+00:00,2025-02-20 21:33:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:48:00+00:00,2025-02-20 21:47:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:49:00+00:00,2025-02-20 21:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 15:49:00+00:00,2025-02-21 15:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 15:49:00+00:00,2025-02-21 15:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 15:49:00+00:00,2025-02-21 15:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 15:49:00+00:00,2025-02-21 15:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 15:49:00+00:00,2025-02-21 15:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 15:49:00+00:00,2025-02-21 15:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 15:49:00+00:00,2025-02-21 15:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 15:49:00+00:00,2025-02-21 15:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 18:51:00+00:00,2025-02-21 18:50:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 15:49:00+00:00,2025-02-21 15:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 18:51:00+00:00,2025-02-21 18:50:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 08:33:00+00:00,2025-02-21 08:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-21 15:49:00+00:00,2025-02-21 15:48:00+00:00,1,1.0
